"conversation_id_str","created_at","favorite_count","full_text","id_str","image_url","in_reply_to_screen_name","lang","location","quote_count","reply_count","retweet_count","tweet_url","user_id_str","username"
"1795532862114132362","Tue May 28 19:09:28 +0000 2024","2444","Lewis Hamilton https://t.co/hAxZjI5SGC","1795532862114132362","https://pbs.twimg.com/media/GOsDnrWWoAAoHNa.jpg","","in","","3","15","184","https://x.com/Scuderiascoop/status/1795532862114132362","1703011776411934720","Scuderiascoop"
"1801010971185393670","Wed Jun 12 21:57:31 +0000 2024","8724","Sir Lewis Hamil8on https://t.co/kHCrwsr2Ny","1801010971185393670","https://pbs.twimg.com/media/GP55XHLWYAEjU0G.jpg","","cy","","27","50","359","https://x.com/Scuderiascoop/status/1801010971185393670","1703011776411934720","Scuderiascoop"
"1794279451943161982","Sat May 25 08:08:52 +0000 2024","792","Lewis x Ferrari ️ https://t.co/AUE1LEwr1h","1794279451943161982","https://pbs.twimg.com/media/GOaPpsMWAAAh2TW.jpg","","in","France","4","3","44","https://x.com/TristanHomy/status/1794279451943161982","1593898566698897408","TristanHomy"
"1795427346130075988","Tue May 28 12:10:11 +0000 2024","182","Felipe Massa Ferrari Lewis Hamilton McLaren Hungaroring 2008. Photo: Bertrand Guay. https://t.co/lcqqhuVRtS","1795427346130075988","https://pbs.twimg.com/media/GOqjp7XXwAEAkGl.jpg","","in","","0","0","15","https://x.com/NetoDemetriou/status/1795427346130075988","1054427352439144448","NetoDemetriou"
"1790346503560614154","Tue May 14 11:40:44 +0000 2024","17","Lewis Hamilton X Ferrari https://t.co/3AGLAp6xOr","1790346503560614154","https://pbs.twimg.com/ext_tw_video_thumb/1790346471901933568/pu/img/OFBYGCeeCN2lWsHH.jpg","","in","","0","1","2","https://x.com/efelewis4463/status/1790346503560614154","1652343700356308995","efelewis4463"
"1802663211462021234","Mon Jun 17 11:22:56 +0000 2024","254","hehe ferrari caps x sir lewis hamilton from bahrain 2019 ️‍ https://t.co/M88QfqtWFo","1802663211462021234","https://pbs.twimg.com/amplify_video_thumb/1802663131438583808/img/neg-boBilo5rFiOS.jpg","","in","","1","0","6","https://x.com/sim3744/status/1802663211462021234","1690312897480859648","sim3744"
"1798273615739424826","Wed Jun 05 08:40:14 +0000 2024","4274","Ducati 2025: Pecco Bagnaia - Marc Marquez. Ferrari 2025: Charles Leclerc - Lewis Hamilton. Tim merah terlalu menyala! https://t.co/2SWAIJA6F8","1798273615739424826","https://pbs.twimg.com/media/GPTAE5mbMAAXigB.jpg","","in","Indonesia","236","94","1107","https://x.com/ScherazadeMS/status/1798273615739424826","1285938375346675712","ScherazadeMS"
"1808161688501293343","Tue Jul 02 15:31:55 +0000 2024","48","Lewis Hamilton &amp; Tifosi ️🇮🇹 ️ Ig: pitspor https://t.co/dNOSZZj3X8","1808161688501293343","https://pbs.twimg.com/ext_tw_video_thumb/1808161627407372288/pu/img/tWxmcHj8un4a3eKS.jpg","","in","Maranello, Emilia Romagna","0","0","0","https://x.com/ferrarinewstr/status/1808161688501293343","1426484095366967296","ferrarinewstr"
"1783514508490682591","Thu Apr 25 15:12:49 +0000 2024","211","Newey x Ferrari x Lewis Hamilton in 2025 https://t.co/8lFkaP2M5n","1783514508490682591","https://pbs.twimg.com/media/GMBQ_fUWwAAD2Lq.jpg","","in","","0","3","14","https://x.com/f1amani/status/1783514508490682591","1535026771946524678","f1amani"
"1793568673464004861","Thu May 23 09:04:29 +0000 2024","103","Sir Lewis Hamilton https://t.co/SlEtDtmF1S","1793568673464004861","https://pbs.twimg.com/media/GOQJM4WWwAAzVEd.jpg","","cy","","0","1","2","https://x.com/Scuderiascoop/status/1793568673464004861","1703011776411934720","Scuderiascoop"
"1797667667060625653","Mon Jun 03 16:32:25 +0000 2024","3050","Coba bilang ke gue 5 tahun lalu kalau: - Lewis Hamilton pindah ke Ferrari - Marc Marquez pindah ke Ducati ⏳ Gue bakal bilang lu orang gila coy https://t.co/aly3WSc8wu","1797667667060625653","https://pbs.twimg.com/media/GPKZNfyaEAEnC7B.jpg","","in","Pernah di paddock","90","50","393","https://x.com/LambeResing/status/1797667667060625653","1268958732794261505","LambeResing"
"1791764692764914153","Sat May 18 09:36:06 +0000 2024","3","ferrari lewis is real https://t.co/S7bkfCAJFS","1791764692764914153","https://pbs.twimg.com/media/GN2gfKqWcAAhBSZ.jpg","","in","ita/eng","1","0","1","https://x.com/sharkleclerc/status/1791764692764914153","1264321157748137984","sharkleclerc"
"1778412440620773650","Thu Apr 11 13:19:01 +0000 2024","11","Lewis Hamilton Fernando Alonso McLaren; Felipe Massa Ferrari; Indianapolis 2007. #F1 #KeepFightingMichael #Formula1 #f1 🇺🇸 https://t.co/1fTpxDnICk","1778412440620773650","https://pbs.twimg.com/media/GK4wpkKXAAA8OMz.jpg","","in","Newport Pagnell ","0","3","0","https://x.com/CarManToday/status/1778412440620773650","1349151034195771393","CarManToday"
"1795037575981461596","Mon May 27 10:21:22 +0000 2024","1159"," Deretan keajaiban di F1 musim 2024: Lewis Hamilton ke Ferrari Adrian Newey cabut dari Red Bull Lando Norris menang Charles Leclerc akhiri kutukan di Monako Alpine dapat poin Selanjutnya? Hulkenberg podium? Hueheheheheee~ https://t.co/Iq7R56bWNY","1795037575981461596","https://pbs.twimg.com/media/GOlAbjlasAA1CS1.jpg","","in","Indonesia","24","54","90","https://x.com/f1speed_indo/status/1795037575981461596","1019746932833468416","f1speed_indo"
"1787742866988519454","Tue May 07 07:14:48 +0000 2024","4","Il pilota della Ferrari Lewis Hamilton al met gala https://t.co/0zYpmqTi9T","1787742866988519454","https://pbs.twimg.com/media/GM9WqVwXEAAH8JG.jpg","","in","Maranello, Emilia Romagna","0","0","1","https://x.com/LPavardinho/status/1787742866988519454","1575090532631592963","LPavardinho"
